user_id,group,segment,converted,latency_ms,time_on_page_sec
4555,treatment,desktop,0,232.74,39.1
2857,control,desktop,0,158.23,44.49
6595,control,mobile,0,223.46,55.25
14111,control,tablet,0,240.14,70.29
13192,treatment,mobile,0,210.38,60.33
2901,control,desktop,1,226.04,44.13
8732,control,mobile,0,190.85,34.88
2122,control,desktop,0,225.49,192.0
9755,control,mobile,0,195.31,37.18
8817,control,mobile,0,246.71,49.29
12396,treatment,mobile,1,294.63,61.83
15234,treatment,tablet,1,217.06,22.94
12022,treatment,mobile,0,266.42,56.84
158,control,desktop,0,219.24,42.75
7915,control,mobile,0,246.25,107.25
3360,treatment,desktop,0,219.71,71.23
14477,control,tablet,0,228.62,79.05
15889,treatment,tablet,0,261.72,126.92
15484,treatment,tablet,0,253.18,22.61
13145,treatment,mobile,0,214.74,26.15
8576,control,mobile,1,253.17,47.62
15301,treatment,tablet,0,215.2,75.79
2837,control,desktop,0,218.04,153.24
6170,treatment,desktop,0,206.04,64.78
10353,treatment,mobile,0,248.06,54.06
12190,treatment,mobile,0,255.19,119.04
233,control,desktop,0,184.53,43.04
6834,control,mobile,0,232.11,67.18
13476,treatment,mobile,0,241.75,59.87
13874,control,tablet,0,211.41,101.91
14236,control,tablet,0,212.21,26.4
1165,control,desktop,0,264.07,68.83
11444,treatment,mobile,1,220.67,43.81
12924,treatment,mobile,0,224.62,56.18
11001,treatment,mobile,0,246.29,28.75
15180,treatment,tablet,0,268.78,61.91
8523,control,mobile,1,215.06,79.64
6866,control,mobile,0,168.45,25.04
8399,control,mobile,0,214.53,40.72
11401,treatment,mobile,0,236.58,24.57
10991,treatment,mobile,0,191.92,36.94
133,control,desktop,1,150.28,60.48
4556,treatment,desktop,1,170.56,74.64
5921,treatment,desktop,0,160.03,36.47
874,control,desktop,0,183.64,31.4
8331,control,mobile,0,213.27,14.8
8660,control,mobile,1,207.66,84.75
8014,control,mobile,0,267.84,45.16
4595,treatment,desktop,1,282.42,50.57
14726,control,tablet,0,239.25,47.87
10052,treatment,mobile,0,155.53,23.42
8829,control,mobile,0,203.43,60.48
1016,control,desktop,0,228.69,27.43
12004,treatment,mobile,1,192.23,30.18
13269,treatment,mobile,0,181.04,37.96
13640,control,tablet,0,225.12,71.05
5925,treatment,desktop,1,210.65,95.98
6165,treatment,desktop,0,211.75,42.54
11987,treatment,mobile,0,197.31,33.95
12651,treatment,mobile,0,194.25,87.52
11272,treatment,mobile,0,249.47,55.17
7484,control,mobile,0,246.11,43.52
5552,treatment,desktop,0,170.32,32.36
6921,control,mobile,1,170.11,71.66
10779,treatment,mobile,0,195.6,69.59
9401,control,mobile,0,236.8,82.67
936,control,desktop,0,167.52,84.87
4742,treatment,desktop,0,235.46,117.44
1917,control,desktop,0,197.3,77.84
1982,control,desktop,0,153.69,49.32
11394,treatment,mobile,0,250.69,21.24
13235,treatment,mobile,0,192.41,51.67
6521,control,mobile,0,234.06,77.86
10975,treatment,mobile,0,207.54,73.75
6389,treatment,desktop,0,200.63,32.79
6266,treatment,desktop,0,224.99,28.53
1081,control,desktop,0,148.86,106.86
12075,treatment,mobile,0,253.73,62.68
2668,control,desktop,0,246.66,50.38
5882,treatment,desktop,1,244.82,71.97
3848,treatment,desktop,0,202.56,44.95
9528,control,mobile,0,204.22,83.44
1266,control,desktop,0,251.92,50.57
3324,treatment,desktop,0,192.92,32.89
925,control,desktop,0,180.25,36.88
14856,treatment,tablet,1,244.89,48.88
464,control,desktop,0,224.12,51.55
1198,control,desktop,0,228.14,33.39
4267,treatment,desktop,0,216.58,44.96
6125,treatment,desktop,0,222.07,42.41
6700,control,mobile,0,228.39,36.34
1566,control,desktop,0,267.7,54.83
4947,treatment,desktop,0,200.15,50.63
9860,control,mobile,0,199.73,41.82
8154,control,mobile,0,268.23,83.23
15949,treatment,tablet,0,204.41,59.02
4030,treatment,desktop,0,182.52,58.91
4096,treatment,desktop,0,233.05,51.07
13955,control,tablet,0,226.7,56.37
15453,treatment,tablet,0,252.14,90.86
640,control,desktop,0,247.53,117.62
3803,treatment,desktop,0,265.18,48.72
12527,treatment,mobile,0,196.93,42.86
13239,treatment,mobile,0,171.78,99.41
13660,control,tablet,0,207.6,35.62
4579,treatment,desktop,0,168.07,60.09
3548,treatment,desktop,0,219.62,81.65
5002,treatment,desktop,1,214.75,72.14
7257,control,mobile,0,242.66,47.61
15793,treatment,tablet,0,156.06,42.8
11784,treatment,mobile,0,212.15,138.33
10645,treatment,mobile,0,195.45,67.32
12719,treatment,mobile,1,157.44,127.64
9203,control,mobile,0,254.36,51.53
8839,control,mobile,0,238.1,119.37
3102,control,desktop,0,153.53,45.21
2732,control,desktop,0,231.99,40.47
11916,treatment,mobile,0,286.13,43.66
14312,control,tablet,0,209.63,60.51
13181,treatment,mobile,0,220.38,45.88
13766,control,tablet,0,167.73,43.4
10153,treatment,mobile,0,268.68,57.13
9279,control,mobile,0,187.87,58.36
2071,control,desktop,0,204.67,36.93
14979,treatment,tablet,0,189.43,29.1
438,control,desktop,0,162.98,88.64
1870,control,desktop,0,193.1,85.45
653,control,desktop,0,207.72,20.18
7117,control,mobile,0,219.21,50.06
4800,treatment,desktop,0,247.29,83.78
1443,control,desktop,0,217.52,47.22
15137,treatment,tablet,0,170.85,92.65
4424,treatment,desktop,0,223.77,31.13
268,control,desktop,0,223.02,92.13
5805,treatment,desktop,0,185.94,36.52
4399,treatment,desktop,0,195.35,52.2
3709,treatment,desktop,0,191.38,26.85
13809,control,tablet,0,304.51,43.73
8378,control,mobile,1,173.15,69.11
2640,control,desktop,0,274.1,61.72
12669,treatment,mobile,0,204.9,23.73
2896,control,desktop,0,205.17,64.06
9767,control,mobile,0,255.3,24.42
13686,control,tablet,0,159.73,47.45
8434,control,mobile,1,202.5,59.75
13247,treatment,mobile,0,254.92,71.13
7053,control,mobile,0,210.31,55.33
11111,treatment,mobile,0,196.39,50.83
2010,control,desktop,0,237.26,117.31
12644,treatment,mobile,1,244.19,35.31
9631,control,mobile,0,222.98,159.29
10393,treatment,mobile,0,172.78,42.12
13705,control,tablet,0,206.68,44.43
3614,treatment,desktop,0,238.31,25.58
2404,control,desktop,0,211.89,128.24
11490,treatment,mobile,0,235.46,63.73
14144,control,tablet,0,250.37,38.92
1101,control,desktop,1,274.19,46.2
14740,control,tablet,0,251.13,109.04
10958,treatment,mobile,0,266.58,29.97
9196,control,mobile,0,228.71,55.64
9991,control,mobile,0,210.56,49.65
6650,control,mobile,0,213.56,31.14
1376,control,desktop,0,190.01,36.71
4810,treatment,desktop,0,219.36,61.52
12523,treatment,mobile,0,206.9,35.1
11723,treatment,mobile,0,239.9,51.18
4837,treatment,desktop,1,266.63,161.79
5325,treatment,desktop,0,232.75,37.28
14023,control,tablet,0,171.39,103.7
11555,treatment,mobile,0,203.46,80.6
67,control,desktop,0,214.27,79.06
14797,control,tablet,0,237.65,69.3
15853,treatment,tablet,0,187.58,125.95
11334,treatment,mobile,0,229.39,80.61
9678,control,mobile,0,247.58,91.33
10015,treatment,mobile,1,185.46,33.5
11421,treatment,mobile,1,207.35,28.61
2622,control,desktop,1,245.7,70.31
5069,treatment,desktop,0,199.67,42.64
7855,control,mobile,0,208.53,61.12
7927,control,mobile,0,192.06,77.97
2060,control,desktop,0,225.33,47.59
3019,control,desktop,0,215.43,26.58
2572,control,desktop,0,227.73,41.4
14684,control,tablet,0,275.82,31.24
7813,control,mobile,0,207.84,77.11
12734,treatment,mobile,0,219.0,34.34
5689,treatment,desktop,0,241.75,64.4
14029,control,tablet,0,176.71,72.22
9107,control,mobile,0,269.92,68.73
5674,treatment,desktop,0,258.63,80.28
2475,control,desktop,0,178.25,80.01
11849,treatment,mobile,0,147.24,47.79
11979,treatment,mobile,0,216.78,17.49
4032,treatment,desktop,0,240.25,118.55
8548,control,mobile,0,153.49,29.65
11562,treatment,mobile,0,199.72,66.11
853,control,desktop,0,186.42,18.24
7414,control,mobile,0,235.34,34.87
4639,treatment,desktop,0,212.3,53.0
3828,treatment,desktop,0,242.96,45.03
262,control,desktop,0,198.56,16.02
12259,treatment,mobile,0,213.0,79.18
8642,control,mobile,0,203.82,34.88
9526,control,mobile,0,232.34,63.3
3381,treatment,desktop,0,222.88,42.75
3987,treatment,desktop,0,234.69,59.53
2807,control,desktop,0,258.98,46.6
15907,treatment,tablet,0,198.68,15.95
14971,treatment,tablet,0,304.01,31.13
13629,control,tablet,1,220.47,62.82
229,control,desktop,0,248.17,111.75
12954,treatment,mobile,0,214.9,20.9
14865,treatment,tablet,0,257.51,85.59
13649,control,tablet,1,251.07,93.49
2602,control,desktop,0,200.77,37.02
4908,treatment,desktop,0,230.45,122.92
5268,treatment,desktop,1,261.65,65.54
12790,treatment,mobile,0,200.58,45.21
15350,treatment,tablet,0,242.95,30.62
931,control,desktop,0,226.28,31.14
13204,treatment,mobile,0,257.62,42.98
5589,treatment,desktop,0,232.76,87.9
1389,control,desktop,0,191.73,54.99
12816,treatment,mobile,0,247.8,53.66
12182,treatment,mobile,0,269.13,47.35
11761,treatment,mobile,0,233.38,43.57
10357,treatment,mobile,0,237.12,69.29
2012,control,desktop,0,188.69,38.47
786,control,desktop,0,238.52,34.97
14295,control,tablet,1,181.35,71.22
4413,treatment,desktop,0,206.47,50.78
8204,control,mobile,0,269.81,26.55
12800,treatment,mobile,0,222.93,64.27
10429,treatment,mobile,0,208.94,72.8
11835,treatment,mobile,0,250.9,40.72
807,control,desktop,0,234.02,96.16
6093,treatment,desktop,0,261.46,117.58
9605,control,mobile,0,195.56,90.44
15470,treatment,tablet,0,242.27,87.18
13870,control,tablet,1,220.72,23.63
13793,control,tablet,1,199.46,106.28
7016,control,mobile,0,195.22,54.08
9283,control,mobile,0,255.57,29.79
