user_id,group,segment,converted,latency_ms,time_on_page_sec
9658,control,mobile,0,155.73,34.19
18730,control,tablet,0,214.31,68.99
4709,treatment,desktop,0,228.24,35.16
12034,control,mobile,0,222.5,27.75
4203,treatment,desktop,1,234.31,39.21
5766,treatment,desktop,0,166.4,29.55
3300,treatment,desktop,0,213.34,37.16
11677,control,mobile,0,278.74,43.43
2327,treatment,desktop,0,185.56,35.23
13017,control,mobile,0,184.14,91.8
10020,control,mobile,0,191.96,39.85
16785,treatment,mobile,0,174.22,55.5
7418,treatment,desktop,0,214.07,46.55
13060,control,mobile,0,239.87,57.99
16103,treatment,mobile,0,243.11,31.85
15762,treatment,mobile,0,215.86,182.46
10111,control,mobile,0,239.13,47.89
3530,treatment,desktop,0,234.46,59.14
15335,treatment,mobile,0,230.28,37.36
15959,treatment,mobile,0,194.99,52.05
10519,control,mobile,0,197.62,44.41
18344,control,tablet,1,200.74,91.45
13075,control,mobile,0,197.15,38.65
17626,control,tablet,1,232.52,25.55
18694,control,tablet,1,256.99,80.54
9063,control,mobile,0,226.51,61.24
13522,control,mobile,1,224.97,60.49
18814,control,tablet,0,278.37,29.61
11311,control,mobile,0,207.78,47.12
14095,control,mobile,0,207.63,69.67
16571,treatment,mobile,0,236.37,125.01
16807,treatment,mobile,0,187.48,51.9
1521,treatment,desktop,0,209.17,21.82
2645,treatment,desktop,0,242.27,40.03
14438,control,mobile,0,248.57,59.68
4651,treatment,desktop,0,209.8,72.27
10631,control,mobile,0,190.5,59.56
5122,treatment,desktop,0,272.63,90.89
15321,treatment,mobile,0,233.77,31.82
19284,treatment,tablet,0,166.24,35.93
364,control,desktop,0,198.21,42.2
13170,control,mobile,0,283.3,86.66
8433,control,mobile,0,194.1,56.51
11414,control,mobile,0,204.38,41.38
12851,control,mobile,0,181.33,67.41
13158,control,mobile,0,261.44,56.92
11991,control,mobile,0,244.31,73.22
12170,control,mobile,0,250.69,34.22
6833,treatment,desktop,0,219.25,52.52
12220,control,mobile,0,216.32,117.14
13428,control,mobile,0,224.31,38.83
18414,control,tablet,0,258.26,100.65
3437,treatment,desktop,0,247.67,65.07
15371,treatment,mobile,0,216.47,49.36
2485,treatment,desktop,0,276.32,107.14
11785,control,mobile,0,235.43,52.35
10761,control,mobile,0,233.41,99.07
18043,control,tablet,0,299.41,58.65
14408,control,mobile,0,268.16,58.34
2950,treatment,desktop,1,227.01,92.03
5682,treatment,desktop,0,170.02,54.63
10239,control,mobile,0,287.09,69.88
16080,treatment,mobile,0,208.49,39.81
4329,treatment,desktop,0,214.14,20.66
3963,treatment,desktop,0,151.74,54.85
5666,treatment,desktop,0,213.78,47.54
10795,control,mobile,0,260.22,53.44
10601,control,mobile,0,235.25,76.66
17985,control,tablet,0,192.85,82.3
3209,treatment,desktop,0,215.78,41.78
10075,control,mobile,0,189.18,65.02
12031,control,mobile,0,171.88,110.51
260,control,desktop,0,213.48,37.82
9767,control,mobile,0,192.82,71.17
7263,treatment,desktop,0,241.22,85.31
18064,control,tablet,0,231.6,108.19
10018,control,mobile,0,224.84,121.61
16647,treatment,mobile,0,220.21,52.9
11102,control,mobile,0,193.54,51.11
14392,control,mobile,0,221.41,32.11
220,control,desktop,1,208.67,72.94
6623,treatment,desktop,1,230.99,100.35
10118,control,mobile,0,230.06,75.99
4362,treatment,desktop,0,236.25,31.26
9432,control,mobile,0,175.33,67.08
4944,treatment,desktop,0,183.91,60.66
18006,control,tablet,1,241.69,43.32
14345,control,mobile,0,192.28,43.22
6597,treatment,desktop,1,253.12,31.62
19605,treatment,tablet,0,214.51,57.31
16404,treatment,mobile,0,262.91,79.08
19988,treatment,tablet,0,235.06,45.06
14659,control,mobile,1,170.76,29.64
7454,treatment,desktop,0,178.39,56.82
296,control,desktop,1,267.81,34.13
15373,treatment,mobile,0,184.04,63.1
16688,treatment,mobile,0,248.97,20.96
5895,treatment,desktop,0,229.87,127.51
13130,control,mobile,0,153.82,19.49
