reading_id,station_id,captured_at,station_type,pm25_ug_m3,humidity_pct,temp_c
R0165,ST-06,2026-06-05, park ,-1.0,60.7,19.3
R0113,ST-04,2026-06-17,ROADSIDE,26.1,66.0,26.9
R0187,ST-06,2026-06-27, park ,9.56,51.7,27.3
R0133,ST-05,2026-06-05,PARK,12.73,58.2,25.3
R0103,ST-04,2026-06-07,roadside,16.59,40.5,17.7
R0039,ST-02,2026-06-07, roadside ,22.2,62.0,25.0
R0168,ST-06,2026-06-08,Park,5.53,56.1,21.4
R0095,ST-03,2026-06-31,ROADSIDE,17.51,56.5,25.4
R0241,ST-08,2026-06-17,Park,-1.0,84.5,22.6
R0041,ST-02,2026-06-09,ROADSIDE,16.17,89.0,18.9
R0143,ST-05,2026-06-15,PARK,8.88,45.2,19.7
R0144,ST-05,2026-06-16,park,19.44,83.0,22.0
R0042,ST-02,2026-06-10,roadside,16.21,45.3,16.9
R0214,ST-07,2026-06-22,park,14.45,52.8,19.8
R0126,ST-04,2026-06-30, roadside ,20.79,47.6,26.6
R0108,ST-04,2026-06-12,Roadside,12.05,58.7,16.1
R0019,ST-01,2026-06-19,ROADSIDE,23.87,87.4,18.3
R0156,ST-05,2026-06-28, park ,15.68,82.7,27.3
R0035,ST-02,2026-06-03,ROADSIDE,16.96,80.1,26.0
R0234,ST-08,2026-06-10,Park,13.87,53.7,27.9
R0210,ST-07,2026-06-18,Park,10.48,77.1,18.4
R0044,ST-02,2026-06-12, roadside ,17.62,75.4,26.0
R0140,ST-05,2026-06-12,Park,5.8,40.2,15.8
R0080,ST-03,2026-06-16,ROADSIDE,15.75,81.9,25.2
R0191,ST-06,2026-06-31,park,12.21,50.0,21.7
R0112,ST-04,2026-06-16, roadside ,14.05,55.9,28.6
R0189,ST-06,2026-06-29, park ,14.3,74.3,29.3
R0076,ST-03,2026-06-12,ROADSIDE,16.26,51.7,23.3
R0107,ST-04,2026-06-11, roadside ,27.61,43.6,17.9
R0021,ST-01,2026-06-21,roadside,15.79,57.4,25.0
R0212,ST-07,2026-06-20,Park,8.93,46.1,23.5
R0026,ST-01,2026-06-26,ROADSIDE,27.82,54.0,17.7
R0135,ST-05,2026-06-07, park ,10.05,87.1,16.4
R0252,ST-08,2026-06-28,PARK,13.22,40.9,24.5
R0072,ST-03,2026-06-08, roadside ,14.01,52.6,15.7
R0201,ST-07,2026-06-09, park ,12.41,82.7,16.4
R0131,ST-05,2026-06-03,Park,9.43,73.9,26.0
R0111,ST-04,2026-06-15,Roadside,10.85,85.1,20.5
R0121,ST-04,2026-06-25,ROADSIDE,13.53,64.4,17.9
R0231,ST-08,2026-06-07,Park,11.03,57.4,17.3
R0003,ST-01,2026-06-03, roadside ,13.78,89.0,16.5
R0181,ST-06,2026-06-21,park,11.26,80.7,18.3
R0170,ST-06,2026-06-10,PARK,11.88,63.1,23.5
R0172,ST-06,2026-06-12, park ,8.8,41.8,16.7
R0089,ST-03,2026-06-25,ROADSIDE,22.9,73.2,22.6
R0254,ST-08,2026-06-30, park ,14.26,60.0,17.1
R0104,ST-04,2026-06-08,roadside,7.61,52.4,19.5
R0199,ST-07,2026-06-07,PARK,-1.71,67.6,29.0
R0161,ST-06,2026-06-01,park,11.48,50.0,24.5
R0227,ST-08,2026-06-03,Park,11.47,86.6,20.8
R0178,ST-06,2026-06-18,Park,11.51,89.8,29.1
R0038,ST-02,2026-06-06,roadside,15.27,68.7,16.8
R0215,ST-07,2026-06-23,Park,19.63,74.2,22.3
R0034,ST-02,2026-06-02,roadside,12.82,51.4,20.5
R0186,ST-06,2026-06-26, park ,20.19,72.8,25.0
R0213,ST-07,2026-06-21,park,6.55,42.6,24.1
R0067,ST-03,2026-06-03,ROADSIDE,22.32,85.4,23.3
R0125,ST-04,2026-06-29,Roadside,19.84,55.3,20.4
R0163,ST-06,2026-06-03,PARK,14.66,55.0,29.4
R0088,ST-03,2026-06-24, roadside ,,72.4,15.7
R0096,ST-03,2026-06-32,roadside,17.76,83.7,26.9
R0082,ST-03,2026-06-18, roadside ,11.41,74.5,16.0
R0256,ST-08,2026-06-32,park,19.43,67.2,16.0
R0237,ST-08,2026-06-13,Park,7.81,79.9,28.8
R0074,ST-03,2026-06-10,Roadside,26.51,64.3,29.7
R0223,ST-07,2026-06-31, park ,1.62,59.7,15.0
R0148,ST-05,2026-06-20,Park,4.39,72.4,20.9
R0202,ST-07,2026-06-10, park ,22.3,83.3,29.5
R0027,ST-01,2026-06-27, roadside ,12.74,66.9,20.7
R0226,ST-08,2026-06-02,PARK,17.78,66.5,19.3
R0218,ST-07,2026-06-26,PARK,13.57,48.7,27.2
R0100,ST-04,2026-06-04,Roadside,18.37,80.8,21.1
R0142,ST-05,2026-06-14,park,5.24,87.0,23.5
R0173,ST-06,2026-06-13,Park,12.63,73.3,19.3
R0206,ST-07,2026-06-14,PARK,4.45,89.2,23.7
R0077,ST-03,2026-06-13,roadside,14.93,51.2,17.7
R0009,ST-01,2026-06-09,roadside,21.5,53.1,29.3
R0250,ST-08,2026-06-26, park ,10.08,83.4,27.8
R0247,ST-08,2026-06-23,Park,6.28,62.9,28.9
R0090,ST-03,2026-06-26,Roadside,,68.4,20.4
R0048,ST-02,2026-06-16,ROADSIDE,16.73,69.2,23.2
R0221,ST-07,2026-06-29,park,11.87,40.5,17.8
R0084,ST-03,2026-06-20,roadside,22.79,61.9,23.0
R0031,ST-01,2026-06-31, roadside ,11.37,41.8,22.3
R0079,ST-03,2026-06-15,roadside,23.33,43.8,16.1
R0032,ST-01,2026-06-32, roadside ,20.36,63.6,17.0
R0083,ST-03,2026-06-19,ROADSIDE,21.34,70.5,27.9
R0094,ST-03,2026-06-30,Roadside,17.79,67.8,22.9
R0250,ST-08,2026-06-26, park ,10.08,83.4,27.8
R0030,ST-01,2026-06-30,roadside,13.58,65.0,22.4
R0205,ST-07,2026-06-13,PARK,10.38,75.0,19.2
R0158,ST-05,2026-06-30,Park,8.12,63.3,21.2
R0106,ST-04,2026-06-10,ROADSIDE,18.35,41.4,21.1
R0162,ST-06,2026-06-02,PARK,9.9,61.0,24.8
R0024,ST-01,2026-06-24,roadside,13.39,79.4,23.1
R0081,ST-03,2026-06-17,roadside,25.16,56.8,29.5
R0064,ST-02,2026-06-32,Roadside,-1.0,43.9,18.8
R0057,ST-02,2026-06-25,Roadside,11.7,89.7,22.0
R0018,ST-01,2026-06-18, roadside ,24.8,83.9,25.8
R0004,ST-01,2026-06-04,roadside,20.49,41.6,21.2
R0157,ST-05,2026-06-29,PARK,-0.21,59.2,27.8
R0105,ST-04,2026-06-09,Roadside,23.6,67.5,16.0
R0184,ST-06,2026-06-24,park,13.92,69.1,27.7
R0115,ST-04,2026-06-19,Roadside,14.45,53.4,25.0
R0073,ST-03,2026-06-09, roadside ,18.9,79.8,15.3
R0117,ST-04,2026-06-21,roadside,16.2,51.4,27.3
R0146,ST-05,2026-06-18,PARK,8.65,72.5,28.2
R0016,ST-01,2026-06-16,Roadside,14.75,42.5,22.9
R0238,ST-08,2026-06-14, park ,6.83,67.5,19.3
R0219,ST-07,2026-06-27,park,16.12,86.7,19.0
R0141,ST-05,2026-06-13,park,14.36,47.3,17.7
R0070,ST-03,2026-06-06, roadside ,19.51,61.1,27.0
R0065,ST-03,2026-06-01, roadside ,12.14,76.0,23.7
R0207,ST-07,2026-06-15,Park,13.32,59.9,26.7
R0179,ST-06,2026-06-19,Park,14.9,62.0,16.1
R0134,ST-05,2026-06-06,park,16.34,79.4,21.5
R0056,ST-02,2026-06-24, roadside ,16.08,75.5,16.2
R0195,ST-07,2026-06-03,park,,55.9,29.9
R0006,ST-01,2026-06-06,ROADSIDE,17.21,40.3,26.7
R0249,ST-08,2026-06-25, park ,8.62,46.3,29.7
R0253,ST-08,2026-06-29,park,8.43,61.4,24.2
R0136,ST-05,2026-06-08, park ,0.19,76.4,24.6
