setting                value                  source
---------------------  ---------------------  ------------
api_token              ***redacted***         environment
base_url               http://127.0.0.1:8080  default
database_url           sqlite:///pipeline.db  default
log_level              warning                environment
report_at              <unset>                default
retry_attempts         3                      file
retry_backoff_seconds  0.05                   default
sources                alpha,bravo,charlie    file
timeout_seconds        3.0                    file
window_hours           24                     command line
